"Latest: Time (s)","Latest: Temperature (°C)"
0,85.1654610778
2,84.6971426162
4,84.3201014203
6,83.9597013897
8,83.6196502161
10,83.2869765187
12,82.9205127765
14,82.6064870679
16,82.2831415576
18,81.9268411045
20,81.6095851711
22,81.3029542643
24,81.0377663093
26,80.7282773434
28,80.4023495657
30,80.0793565744
32,79.8192810586
34,79.4791323697
36,79.1716617309
38,78.8777626394
40,78.6043851443
42,78.307835236
44,78.01369009
46,77.7396318379
48,77.453546879
50,77.1696894645
52,76.8015231502
54,76.5020919738
56,76.1982862667
58,75.9104611867
60,75.6248688871
62,75.3481140699
64,75.07011917
66,74.7941958123
68,74.533305911
70,74.2774616449
72,74.0201576836
74,73.7359765621
76,73.5108091067
78,73.2587104667
80,73.0082938887
82,72.7719328549
84,72.518563721
86,72.2944252803
88,72.0776943363
90,71.856143207
92,71.641895145
94,71.4198712871
96,71.222935501
98,71.0210889317
100,70.8409227367
102,70.562012116
104,70.4101990263
106,70.2299707563
108,70.0592426314
110,69.9036423309
112,69.7629896251
114,69.6142825356
116,69.4462452754
118,69.3100716475
120,69.1743734076
122,69.044771699
124,68.9155995316
126,68.7784717529
128,68.6836038879
130,68.5500632025
132,68.4280495631
134,68.3423127835
136,68.240226286
138,68.165897756
140,68.0724982262
142,68.0204007324
144,67.9492208878
146,67.8754391345
148,67.8972860089
150,67.9875325194
152,68.0450699017
154,68.1081836404
156,68.1081836404
158,68.0697545338
160,68.056038939
162,68.0204007324
164,68.0204007324
166,68.0149207924
168,67.9957470025
170,67.9765825383
172,67.9765825383
174,67.9492208878
176,67.9355471811
178,67.9164119549
180,67.8972860089
182,67.8890920131
184,67.8863610593
186,67.8617909789
188,67.8481475422
190,67.8454194208
192,67.842691488
194,67.8345088206
196,67.8099709908
198,67.7990701821
200,67.7827246095
202,67.7636633211
204,67.7582189278
206,67.7282881683
208,67.7174098744
210,67.7146907687
212,67.6793594059
214,67.6739266131
216,67.6467738396
218,67.6304911188
220,67.6087912445
222,67.584393102
224,67.5518856227
226,67.5437629218
228,67.5329352453
230,67.505878998
232,67.4950616716
234,67.459925743
236,67.4302196523
238,67.4140257072
240,67.3843539723
242,67.3708741542
244,67.3708741542
246,67.3304621564
248,67.3277694858
250,67.2900912632
252,67.2739543924
254,67.23632717
256,67.1987355474
258,67.1665424289
260,67.1558171792
262,67.1504556389
264,67.1075893135
266,67.072794397
268,67.0433762825
270,67.0273391946
272,66.9872747021
274,66.9712601794
276,66.9419169241
278,66.9019381686
280,66.8593382871
282,66.8540164987
284,66.8167838365
286,66.7875539434
288,66.745075888
290,66.7212018141
292,66.6867421977
294,66.6470179712
296,66.6443710917
298,66.6046888999
300,66.5729714528
302,66.5359994948
304,66.5069740233
306,66.4779695639
308,66.4647926547
310,66.4173916094
312,66.3937120797
314,66.3569050121
316,66.3358875477
318,66.3096311806
320,66.3070064879
322,66.2702787877
324,66.251927521
326,66.2152501073
328,66.186455595
330,66.1733739928
332,66.1419954933
334,66.1080297083
336,66.0662649681
338,66.0532223645
340,66.0193313438
342,66.0141198698
344,65.9750552781
346,65.9490332291
348,65.9282276715
350,65.8892461457
352,65.8503022322
354,65.8139884345
356,65.8088034131
358,65.7673471765
360,65.7311078151
362,65.7000713326
364,65.6768095872
366,65.6432328767
368,65.6200037653
370,65.5890523294
372,65.5400941982
374,65.5194979277
376,65.4860512858
378,65.4526322008
380,65.4064050092
382,65.3781809487
384,65.3474134161
386,65.316669164
388,65.2859481481
390,65.2501362723
392,65.2041387043
394,65.1735025124
396,65.1530911826
398,65.1097510358
400,65.0715479694
402,64.9901675107
404,64.9495380591
406,64.9038781915
408,64.8684002042
410,64.8304222115
412,64.7899511849
414,64.7469945308
416,64.7066058681
418,64.671298425
420,64.6360213733
422,64.5982581822
424,64.5504746548
426,64.5077680722
428,64.4851766718
430,64.427499461
432,64.3924311715
434,64.3674006861
436,64.3298834831
438,64.2899027828
440,64.2300043965
442,64.2075649255
444,64.1652125439
446,64.1079813716
448,64.0682151215
450,64.0284871136
452,63.9912767545
454,63.9293337885
456,63.8773732469
458,63.8402984468
460,63.7909169191
462,63.7514539963
464,63.7071030279
466,63.6505012067
468,63.5939763933
470,63.5497931249
472,63.4787075063
474,63.4370929773
476,63.3906317485
478,63.3246968187
480,63.2588658918
482,63.217469956
484,63.1518076094
486,63.091100894
488,63.0498705473
